Hemisphere,Year,Apr,Aug,D-N,Dec,DJF,Feb,J-D,Jan,JJA,Jul,Jun,MAM,Mar,May,Nov,Oct,Sep,SON
Northern,1880,-0.28,-0.24,,-0.38,,-0.5,-0.27,-0.34,-0.18,-0.16,-0.14,-0.18,-0.22,-0.04,-0.41,-0.3,-0.21,-0.31
Northern,1881,0.02,-0.02,-0.17,-0.21,-0.3,-0.21,-0.16,-0.3,-0.08,0.1,-0.31,0.01,-0.03,0.05,-0.35,-0.41,-0.25,-0.34
Northern,1882,-0.3,-0.13,-0.16,-0.66,0.1,0.23,-0.2,0.28,-0.22,-0.26,-0.28,-0.17,0.03,-0.23,-0.31,-0.51,-0.23,-0.35
Northern,1883,-0.27,-0.2,-0.31,-0.14,-0.62,-0.65,-0.26,-0.56,-0.11,-0.01,-0.11,-0.21,-0.14,-0.23,-0.41,-0.14,-0.3,-0.28
Northern,1884,-0.58,-0.5,-0.39,-0.46,-0.13,-0.1,-0.42,-0.16,-0.44,-0.43,-0.4,-0.52,-0.63,-0.35,-0.56,-0.43,-0.43,-0.47
Northern,1885,-0.47,-0.4,-0.45,-0.1,-0.64,-0.45,-0.42,-1,-0.39,-0.33,-0.44,-0.42,-0.22,-0.58,-0.37,-0.36,-0.38,-0.37
Northern,1886,-0.36,-0.42,-0.41,-0.2,-0.55,-0.83,-0.42,-0.74,-0.3,-0.13,-0.36,-0.46,-0.71,-0.32,-0.38,-0.3,-0.32,-0.33
Northern,1887,-0.37,-0.53,-0.41,-0.42,-0.65,-0.69,-0.42,-1.07,-0.32,-0.23,-0.19,-0.34,-0.42,-0.24,-0.26,-0.48,-0.19,-0.31
Northern,1888,-0.21,-0.2,-0.24,-0.22,-0.5,-0.6,-0.22,-0.48,-0.07,0.01,-0.02,-0.33,-0.63,-0.14,0,-0.03,-0.18,-0.07
Northern,1889,0.17,-0.2,-0.14,-0.54,-0.06,0.31,-0.17,-0.26,-0.11,-0.07,-0.06,0.04,-0.02,-0.03,-0.61,-0.41,-0.3,-0.44
Northern,1890,-0.24,-0.38,-0.38,-0.46,-0.58,-0.56,-0.38,-0.63,-0.25,-0.23,-0.15,-0.35,-0.46,-0.35,-0.62,-0.09,-0.34,-0.35
Northern,1891,-0.35,-0.12,-0.29,-0.03,-0.53,-0.68,-0.26,-0.47,-0.12,-0.12,-0.12,-0.22,-0.16,-0.15,-0.52,-0.28,-0.08,-0.29
Northern,1892,-0.45,-0.32,-0.34,-0.65,-0.22,-0.15,-0.39,-0.49,-0.25,-0.37,-0.05,-0.45,-0.67,-0.23,-0.82,-0.28,-0.2,-0.43
Northern,1893,-0.3,-0.33,-0.48,-0.6,-1.05,-0.97,-0.47,-1.52,-0.21,-0.13,-0.18,-0.35,-0.31,-0.43,-0.33,-0.28,-0.28,-0.3
Northern,1894,-0.54,-0.26,-0.41,-0.35,-0.64,-0.42,-0.39,-0.91,-0.29,-0.2,-0.4,-0.34,-0.21,-0.26,-0.47,-0.27,-0.32,-0.35
Northern,1895,-0.18,-0.26,-0.31,-0.22,-0.62,-0.81,-0.3,-0.69,-0.21,-0.18,-0.2,-0.32,-0.49,-0.29,-0.12,-0.09,-0.05,-0.09
Northern,1896,-0.6,-0.1,-0.19,-0.21,-0.25,-0.18,-0.19,-0.35,-0.01,0.01,0.08,-0.42,-0.49,-0.16,-0.2,0.05,-0.12,-0.09
Northern,1897,-0.05,-0.06,-0.16,-0.26,-0.34,-0.42,-0.16,-0.4,-0.03,0.04,-0.06,-0.1,-0.4,0.14,-0.26,-0.14,-0.06,-0.15
Northern,1898,-0.27,-0.16,-0.27,-0.25,-0.21,-0.42,-0.27,0.07,-0.1,-0.09,-0.06,-0.43,-0.78,-0.26,-0.5,-0.36,-0.16,-0.34
Northern,1899,-0.23,-0.06,-0.18,-0.45,-0.34,-0.64,-0.2,-0.11,-0.19,-0.16,-0.34,-0.34,-0.57,-0.23,0.38,0.05,-0.04,0.13
Northern,1900,-0.09,-0.07,-0.11,-0.01,-0.4,-0.13,-0.08,-0.6,-0.09,-0.1,-0.08,-0.01,0.07,-0.02,-0.1,0.25,-0.01,0.05
