Hemisphere,Month,Year,D-N,DJF,J-D,JJA,MAM,SON,Temperature
Global,Apr,1880,,,-0.16,-0.15,-0.1,-0.18,-0.15
Global,Aug,1880,,,-0.16,-0.15,-0.1,-0.18,-0.09
Global,Dec,1880,,,-0.16,-0.15,-0.1,-0.18,-0.16
Global,Feb,1880,,,-0.16,-0.15,-0.1,-0.18,-0.23
Global,Jan,1880,,,-0.16,-0.15,-0.1,-0.18,-0.17
Global,Jul,1880,,,-0.16,-0.15,-0.1,-0.18,-0.17
Global,Jun,1880,,,-0.16,-0.15,-0.1,-0.18,-0.2
Global,Mar,1880,,,-0.16,-0.15,-0.1,-0.18,-0.08
Global,May,1880,,,-0.16,-0.15,-0.1,-0.18,-0.08
Global,Nov,1880,,,-0.16,-0.15,-0.1,-0.18,-0.2
Global,Oct,1880,,,-0.16,-0.15,-0.1,-0.18,-0.22
Global,Sep,1880,,,-0.16,-0.15,-0.1,-0.18,-0.13
Global,Apr,1881,-0.08,-0.16,-0.07,-0.06,0.06,-0.17,0.06
Global,Aug,1881,-0.08,-0.16,-0.07,-0.06,0.06,-0.17,-0.02
Global,Dec,1881,-0.08,-0.16,-0.07,-0.06,0.06,-0.17,-0.05
Global,Feb,1881,-0.08,-0.16,-0.07,-0.06,0.06,-0.17,-0.13
Global,Jan,1881,-0.08,-0.16,-0.07,-0.06,0.06,-0.17,-0.18
Global,Jul,1881,-0.08,-0.16,-0.07,-0.06,0.06,-0.17,0.02
Global,Jun,1881,-0.08,-0.16,-0.07,-0.06,0.06,-0.17,-0.17
Global,Mar,1881,-0.08,-0.16,-0.07,-0.06,0.06,-0.17,0.04
Global,May,1881,-0.08,-0.16,-0.07,-0.06,0.06,-0.17,0.08
Global,Nov,1881,-0.08,-0.16,-0.07,-0.06,0.06,-0.17,-0.17
Global,Oct,1881,-0.08,-0.16,-0.07,-0.06,0.06,-0.17,-0.2
Global,Sep,1881,-0.08,-0.16,-0.07,-0.06,0.06,-0.17,-0.14
Global,Apr,1882,-0.07,0.09,-0.1,-0.14,-0.08,-0.17,-0.15
Global,Aug,1882,-0.07,0.09,-0.1,-0.14,-0.08,-0.17,-0.06
Global,Dec,1882,-0.07,0.09,-0.1,-0.14,-0.08,-0.17,-0.34
Global,Feb,1882,-0.07,0.09,-0.1,-0.14,-0.08,-0.17,0.15
Global,Jan,1882,-0.07,0.09,-0.1,-0.14,-0.08,-0.17,0.18
