row,name,light_years_from_earth,stellar_magnitude,discovery_date,planet_type,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius,mass,radius,orbit_radius
0,11 Comae Berenices b,305.0,4.74,2007,Gas Giant,326 days,0.23,11 Com,Radial Velocity,,0.0,12h20m43.03s,+17d47m34.3s,4742.0,2.7,19.0,19.4,1.08,1.29
1,11 Ursae Minoris b,410.0,5.016,2009,Gas Giant,1.4 years,0.08,11 UMi,Radial Velocity,,0.0,15h17m05.89s,+71d49m26.0s,4213.0,2.78,29.79,14.74,1.09,1.53
2,14 Andromedae b,247.0,5.227,2008,Gas Giant,185.8 days,0,14 And,Radial Velocity,,0.0,23h31m17.42s,+39d14m10.3s,4813.0,2.2,11.0,4.8,1.15,0.83
3,14 Herculis b,59.0,6.61,2002,Gas Giant,4.9 years,0.37,14 Her,Radial Velocity,,0.0,16h10m24.31s,+43d49m03.5s,5338.0,0.9,0.93,4.66,1.15,2.93
4,16 Cygni B b,69.0,6.25,1996,Gas Giant,2.2 years,0.68,16 Cyg B,Radial Velocity,,0.0,19h41m51.97s,+50d31m03.1s,5750.0,1.08,1.13,1.78,1.2,1.66
5,18 Delphini b,249.0,5.506,2008,Gas Giant,2.7 years,0.08,18 Del,Radial Velocity,,0.0,20h58m25.94s,+10d50m21.4s,4979.0,2.3,8.5,10.3,1.11,2.6
6,1RXS J160929.1-210524 b,473.0,12.057,2008,Gas Giant,6505.9 years,0,1RXS J160929.1-210524,Imaging,,0.0,16h09m30.30s,-21d04m58.9s,4060.0,0.85,,8,1.664,330.0
7,24 Bootis b,314.0,5.58,2018,Gas Giant,30.4 days,0.04,24 Boo,Radial Velocity,,0.0,14h28m37.81s,+49d50m41.5s,4893.0,0.99,10.64,0.91,1.24,0.19
8,24 Sextantis b,236.0,6.441,2010,Gas Giant,452.8 days,0.09,24 Sex,Radial Velocity,,0.0,10h23m28.37s,-00d54m08.1s,5098.0,1.54,4.9,1.99,1.19,1.333
9,24 Sextantis c,236.0,6.441,2010,Gas Giant,2.4 years,0.29,24 Sex,Radial Velocity,,0.0,10h23m28.37s,-00d54m08.1s,5098.0,1.54,4.9,0.86,1.24,2.08
10,2MASS J01033563-5515561 AB b,154.0,0.0,2013,Gas Giant,1767.2 years,0,2MASS J01033563-5515561 A,Imaging,,0.0,01h03m35.63s,-55d15m56.1s,,0.19,,13,1.1,84.0
11,2MASS J01225093-2439505 b,117.0,14.24,2013,Gas Giant,593.2 years,0,2MASS J01225093-2439505,Imaging,,0.0,01h22m50.94s,-24d39m50.6s,3530.0,0.4,,24.5,1.0,52.0
12,2MASS J02192210-3925225 b,129.0,15.012,2015,Gas Giant,5878.1 years,0,2MASS J02192210-3925225,Imaging,,0.0,02h19m22.11s,-39d25m22.5s,3064.0,0.11,0.28,13.9,1.44,156.0
13,2MASS J04414489+2301513 b,457.0,18.967,2010,Gas Giant,411 years,0,2MASS J04414489+2301513,Imaging,,0.0,04h41m44.90s,+23d01m51.4s,,0.02,,7.5,1.13,15.0
14,2MASS J12073346-3932539 b,210.0,20.15,2004,Gas Giant,2207.3 years,0,2MASS J12073346-3932539,Imaging,,0.0,12h07m33.47s,-39d32m54.0s,,0.02,,4,1.16,46.0
15,2MASS J19383260+4603591 b,1307.0,12.138,2015,Gas Giant,416 days,0,2MASS J19383260+4603591,Eclipse Timing Variations,,0.0,19h38m32.61s,+46d03m59.1s,,0.48,,1.9,1.2,0.92
16,2MASS J21402931+1625183 A b,82.0,17.396,2009,Gas Giant,20.1 years,0.26,2MASS J21402931+1625183 A,Imaging,46.2,0.0,21h40m29.32s,+16d25m18.3s,2300.0,0.08,0.12,20.95,0.92,0
